iso3,year,n_disasters,total_deaths,total_affected,total_damage_kUSD,disaster_score
GEO,2022,1,0.0,5200.0,0.0,0.20558776594124953
GEO,2023,1,0.0,350000.0,0.0,0.4225788639537609
GRC,2010,1,1.0,150.0,0.0,0.06486997569820115
GRC,2012,2,7.0,200.0,0.0,0.1192313652158503
GRC,2014,3,3.0,79345.0,832136.0,0.7059224493835925
GRC,2015,1,3.0,500.0,0.0,0.11377563714744962
GRC,2016,1,4.0,200.0,73192.0,0.5800015898995232
GRC,2017,4,26.0,6875.0,0.0,0.23621388173631364
GRC,2018,1,100.0,4718.0,0.0,0.25882620646527976
GRC,2019,1,7.0,123.0,0.0,0.11508231652198046
GRC,2020,4,14.0,4369.0,327250.0,0.6575559161150527
GRC,2021,3,3.0,12547.0,717746.0,0.6982247305887106
GRC,2022,2,3092.0,55000.0,0.0,0.4246376391476844
GRC,2023,5,4379.0,24521.0,205899.0,0.6347045704394032
GRC,2024,3,5981.0,900.0,60000.0,0.5746337415540386
GTM,2010,5,174.0,405212.0,935073.0,0.7121456201346549
GTM,2011,6,67.0,537871.0,86341.0,0.591719575360383
GTM,2012,3,44.0,1598227.0,286918.0,0.653550533959292
GTM,2013,2,9.0,2549.0,2693.0,0.4096697145238614
GTM,2014,5,12.0,1590424.0,76853.0,0.5922709185175153
GTM,2015,3,8.0,80347.0,0.0,0.3469403009319727
GTM,2016,1,0.0,55.0,0.0,0.02269350821669501
GTM,2017,6,9.0,49335.0,0.0,0.32214765743336826
GTM,2018,4,463.0,3291359.0,55802.0,0.5902269103316992
GTM,2019,3,21.0,84717.0,0.0,0.3504334692240035
GTM,2020,5,167.0,2874142.0,467847.0,0.679158964607588
GTM,2021,3,2.0,24616.0,0.0,0.28573538206634713
GTM,2022,3,55.0,3378636.0,218662.0,0.6441198940037121
GTM,2023,2,78.0,4401059.0,0.0,0.5537505289828223
GTM,2024,5,28.0,670955.0,0.0,0.4564852052705197
HND,2010,5,211.0,56685.0,129472.0,0.6098422696791508
HND,2011,1,33.0,69798.0,0.0,0.34153815205545784
HND,2012,1,0.0,125000.0,0.0,0.3692902174595181
HND,2013,1,27.0,34128.0,0.0,0.3061093354954707
HND,2014,3,4.0,2046000.0,1855.0,0.5185007452115971
HND,2016,2,7.0,450151.0,0.0,0.4356868315916567
HND,2017,4,21.0,48140.0,0.0,0.3221528008675898
HND,2018,2,6.0,366948.0,0.0,0.4251113497155795
HND,2019,1,128.0,71216.0,0.0,0.34873727003938637
HND,2020,4,132.0,5163484.0,0.0,0.5620638148191297
HND,2021,1,0.0,2503.0,0.0,0.16876891749143416
HND,2022,3,14.0,222457.0,0.0,0.3994447038802105
HND,2023,3,5.0,56958.0,0.0,0.3290911701374399
HND,2024,2,3.0,129216.0,0.0,0.3711265360968061
HTI,2010,7,229549.0,4314226.0,11508590.0,0.8431079427630253
HTI,2011,4,39.0,7482.0,0.0,0.24561870396464366
HTI,2012,7,180.0,242139.0,347034.0,0.6609729787290813
HTI,2013,1,6.0,33265.0,0.0,0.3017783553291197
HTI,2014,3,12.0,1069343.0,2650.0,0.4919116979419225
HTI,2015,3,181.0,66969.0,0.0,0.34938146944284787
HTI,2016,9,599.0,5801040.0,2726398.0,0.7684254632960836
HTI,2017,5,35.0,90434.0,0.0,0.3545088190469297
HTI,2018,1,17.0,39336.0,0.0,0.3116972651075857
HTI,2019,2,14.0,4433.0,0.0,0.2114299214545219
HTI,2020,1,39.0,44175.0,0.0,0.3198764967030769
HTI,2021,4,2582.0,716146.0,1875480.0,0.748220105574011
HTI,2022,4,520.0,16915.0,0.0,0.33849110836002433
HTI,2023,2,80.0,225143.0,432388.0,0.6722514817130505
HTI,2024,4,31.0,173830.0,0.0,0.38726906251870175
IDN,2010,11,1281.0,225254.0,112209.0,0.6037276315880201
IDN,2011,10,76.0,28332.0,8158.0,0.4686214673343227
IDN,2012,11,75.0,51860.0,1366.0,0.3925560350891851
IDN,2013,14,139.0,680191.0,4222788.0,0.7900643019760721
IDN,2014,8,116.0,538387.0,1476114.0,0.7357451975537975
IDN,2015,9,39.0,489220.0,1634506.0,0.7409865752377575
IDN,2016,13,194.0,482609.0,271856.0,0.6488913115105926
IDN,2017,10,59.0,484159.0,26874.0,0.5367907690184306
IDN,2018,13,5262.0,2875611.0,3252983.0,0.7770069587956276
IDN,2019,17,377.0,1214438.0,1617172.0,0.7406778992628525
IDN,2020,28,199.0,909810.0,35512.0,0.554589900251387
IDN,2021,26,479.0,1577551.0,1075113.0,0.7199155753778974
IDN,2022,20,404.0,2607555.0,145774.0,0.6243157813453654
IDN,2023,13,36.0,18910450.0,0.0,0.6291584975647833
IDN,2024,14,166.0,283189.0,70000.0,0.5798598367287305
IND,2010,17,1327.0,4279488.0,3091495.0,0.7745654759387396
IND,2011,13,1038.0,12829319.0,2834597.0,0.7716496361380234
IND,2012,9,583.0,4318360.0,333371.0,0.6648938255171509
IND,2013,12,7119.0,16708827.0,3201390.0,0.7783841732024324
IND,2014,15,921.0,6154064.0,31092460.0,0.8934634160047231
IND,2015,21,3397.0,346549129.0,9196910.0,0.8468565817213266
IND,2016,14,1109.0,3816808.0,3364214.0,0.7788103047535525
IND,2017,15,2250.0,22395095.0,2709204.0,0.7711489056962315
IND,2018,23,1396.0,32361348.0,7631494.0,0.8227825421933609
IND,2019,14,2428.0,23201828.0,14490742.0,0.8546576853866358
IND,2020,9,2225.0,19492502.0,32034157.0,0.8952222280772125
IND,2021,15,1808.0,3833774.0,8798164.0,0.8282250909443409
IND,2022,6,2143.0,2196260.0,4501868.0,0.793569641638302
IND,2023,13,1893.0,15152908.0,131775.0,0.6504245762663696
IND,2024,13,1119.0,18851855.0,73300.0,0.6462166231253471
KEN,2010,4,251.0,215044.0,0.0,0.403079818873767
KEN,2011,5,33.0,8150692.0,0.0,0.5855900187281858
KEN,2012,1,73.0,280670.0,136628.0,0.6133978355122154
